fecha;ccaa;confirmados;hospitalizados;uci;fallecidos
15/1/20;Andalucía;0;21;0;0
15/1/20;Aragón;0;1;0;0
15/1/20;Asturias;0;0;0;0
15/1/20;Canarias;0;3;0;0
15/1/20;Cantabria;0;0;0;0
15/1/20;Castilla y León;0;0;0;0
15/1/20;Castilla-La Mancha;0;1;0;0
15/1/20;Cataluña;0;70;1;0
15/1/20;Ceuta y Melilla;0;0;0;0
15/1/20;Comunidad Valenciana;0;25;0;0
15/1/20;Extremadura;0;0;0;0
15/1/20;Galicia;0;2;1;0
15/1/20;Islas Baleares;0;0;0;0
15/1/20;La Rioja;0;0;0;0
15/1/20;Madrid;0;45;3;0
15/1/20;Murcia;0;1;0;0
15/1/20;Navarra;0;1;0;0
15/1/20;Pa√≠s Vasco;0;9;1;0
15/1/20;No Consta;0;2;0;0
31/1/20;Andalucía;0;34;0;0
31/1/20;Aragón;0;2;0;0
31/1/20;Asturias;0;2;0;0
31/1/20;Canarias;1;9;0;0
31/1/20;Cantabria;0;0;0;0
31/1/20;Castilla y León;2;4;0;0
31/1/20;Castilla-La Mancha;0;1;0;0
31/1/20;Cataluña;0;105;2;0
31/1/20;Ceuta y Melilla;0;0;0;0
31/1/20;Comunidad Valenciana;0;39;0;0
31/1/20;Extremadura;0;0;0;0
31/1/20;Galicia;0;9;2;0
31/1/20;Islas Baleares;0;0;0;0
31/1/20;La Rioja;0;0;0;0
31/1/20;Madrid;1;90;4;0
31/1/20;Murcia;0;3;0;0
31/1/20;Navarra;0;5;0;0
31/1/20;Pa√≠s Vasco;0;11;1;0
31/1/20;No Consta;0;8;0;0
15/2/20;Andalucía;0;55;2;0
15/2/20;Aragón;0;4;1;0
15/2/20;Asturias;0;3;0;0
15/2/20;Canarias;1;10;0;0
15/2/20;Cantabria;0;0;0;0
15/2/20;Castilla y León;2;14;0;0
15/2/20;Castilla-La Mancha;0;1;0;0
15/2/20;Cataluña;1;173;2;0
15/2/20;Ceuta y Melilla;0;0;0;0
15/2/20;Comunidad Valenciana;0;46;1;1
15/2/20;Extremadura;0;0;0;0
15/2/20;Galicia;0;13;3;0
15/2/20;Islas Baleares;1;1;0;0
15/2/20;La Rioja;0;1;0;0
15/2/20;Madrid;2;165;11;0
15/2/20;Murcia;0;8;0;0
15/2/20;Navarra;0;8;0;0
15/2/20;Pa√≠s Vasco;0;20;2;0
15/2/20;No Consta;0;15;1;0
29/2/20;Andalucía;11;80;4;0
29/2/20;Aragón;2;15;5;0
29/2/20;Asturias;1;8;2;0
29/2/20;Canarias;7;24;2;0
29/2/20;Cantabria;1;0;0;0
29/2/20;Castilla y León;6;29;4;0
29/2/20;Castilla-La Mancha;0;13;3;0
29/2/20;Cataluña;7;320;7;0
29/2/20;Ceuta y Melilla;0;0;0;0
29/2/20;Comunidad Valenciana;15;74;5;1
29/2/20;Extremadura;2;4;0;0
29/2/20;Galicia;0;22;4;0
29/2/20;Islas Baleares;4;3;0;0
29/2/20;La Rioja;4;3;0;0
29/2/20;Madrid;22;385;31;0
29/2/20;Murcia;0;13;1;0
29/2/20;Navarra;3;22;2;0
29/2/20;Pa√≠s Vasco;1;50;3;0
29/2/20;No Consta;0;33;2;0
15/3/20;Andalucía;660;457;49;11
15/3/20;Aragón;170;116;25;10
15/3/20;Asturias;163;56;4;1
15/3/20;Canarias;124;106;22;2
15/3/20;Cantabria;59;7;0;0
15/3/20;Castilla y León;443;347;38;12
15/3/20;Castilla-La Mancha;593;529;50;33
15/3/20;Cataluña;1498;1444;121;44
15/3/20;Ceuta y Melilla;18;5;0;0
15/3/20;Comunidad Valenciana;566;366;51;14
15/3/20;Extremadura;140;45;6;2
15/3/20;Galicia;250;109;16;2
15/3/20;Islas Baleares;126;58;14;3
15/3/20;La Rioja;351;78;14;4
15/3/20;Madrid;6369;5196;502;305
15/3/20;Murcia;91;47;6;0
15/3/20;Navarra;285;156;12;2
15/3/20;Pa√≠s Vasco;724;427;35;36
15/3/20;No Consta;236;116;16;1
31/3/20;Andalucía;7822;4299;549;465
31/3/20;Aragón;2605;1431;215;209
31/3/20;Asturias;1377;602;86;74
31/3/20;Canarias;1483;685;143;69
31/3/20;Cantabria;1236;113;34;60
31/3/20;Castilla y León;7982;4294;374;779
31/3/20;Castilla-La Mancha;8083;5666;394;1113
31/3/20;Cataluña;22570;11384;1079;2010
