CCAA;ISO;VIH;Diabetes;trastornos mentales;asma;EPOC;obesidad;tasa_pobreza;nivel_estudios;social;camas_funcionamiento;hospital_dia_funcionamiento;gasto_sanitario;infeccion_hospitalaria;frecuentacion_hospitalizacion;Densidad Poblacional (hab/km2);Edad Media (años);Mayores 65 años (%);Mayores 75 años(%);Índice de dependencia;Tasa de Mortalidad (2017);Tasa de Mortalidad (2018);Tasa de Mortalidad (2019);Esperanza_nascer;Esperanza_65años;Mala_salud_mental;Infectados1M(2020);Infectados1M(2021);Hospitalizados1M(2020);Hospitalizados1M(2021);UCI1M(2020);UCI1M(2021);fallecidos1M(2020);fallecidos1M(2021);Vacunados_completos_%
Andalucía;AN;7,27;8,25;12;4,93;3,42;37,53;32;49;52,08;77,03;86,98;1264,66;1,33;69,18;96,02;42,48;17,41;8,25;51,61;26,5;8,35;8,66;81,94;20,25;26,5;0,26434;0,318018;0,023783;0,02316;0,002486;0,002776;0,005209;0,004631;7,2
Aragón;AR;8,51;7,9;8,62;3,86;4,29;36,8;14,2;35,5;46,57;85,1;86,14;1620,35;1,12;83,99;27,43;45,12;21,73;11,44;58,07;12,54;10,28;10,72;83,71;21,65;12,54;0,079531;0,043616;0,008991;0,003937;0,000828;0,000431;0,002612;0,000876;7,9
Asturias;AS;5,27;8,66;18,68;5,71;4,68;37,44;14;33,2;51,89;85,91;92,8;1683,67;0,76;89,14;97,6;48,87;26,09;13,04;58,65;17,23;12,64;12,93;82,8;21,17;17,23;0,027278;0,02522;0,005036;0,003512;0,000401;0,000355;0,001374;0,000593;9,7
Canarias;CN;12,43;10,99;9,66;3,81;1,71;37,2;32,1;44,6;52,15;68,82;86,68;1530,02;1,6;59,07;283,08;43,09;16,54;7,5;43,84;14,33;7,1;7,45;82,53;21,02;14,33;0,02655;0,02885;0,003088;0,002226;0,000561;0,000548;0,000428;0,000332;5,6
Cantabria;CB;5,34;5,95;12,18;6,9;2,74;36,24;19,9;31,3;49,61;72,82;60,28;1588,1;1,62;88,91;108,96;46,1;22,29;10,94;55,95;10,8;10,33;10,49;83,54;21,49;10,8;0,018003;0,012353;0,001764;0,001526;0,000225;0,000249;0,000407;0,000158;8,8
Castilla y León;CL;4,69;7,42;10,31;5,53;4,29;39,16;16,1;50;50,93;75,72;88,47;1628,89;1,08;87,26;25,74;47,97;25,51;13,96;60,82;17,86;11,95;12,15;84,2;22,24;17,86;0,128822;0,095549;0,018132;0,009219;0,001361;0,000876;0,00519;0,001643;9,5
Castilla-La Mancha;CM;3,69;7,53;11,16;4,3;3,55;34,74;29,9;39,7;56,11;93,27;94,82;1510,73;0,77;89,82;26,62;43,46;19,08;10,2;54,12;14,3;9,55;9,64;83,67;21,55;14,3;0,105769;0,087124;0,014831;0,004354;0,000993;0,000445;0,00435;0,001545;7,1
Cataluña;CT;8,85;7,01;10,38;3,52;3,04;36,66;13,6;37,6;42,14;89,03;92,1;1492,08;1,14;80,24;235,33;43,12;19,22;9,53;55,69;16,36;8,48;8,86;83,67;21,69;16,36;0,357755;0,250226;0,03039;0,010278;0,002505;0,000937;0,010532;0,003842;6,4
Ceuta y Melilla;EA;1,21;8,01;7,46;5,51;1,23;39,87;31,1;48,9;48,55;100;100;1105,43;0,81;89,99;11958,05;37,12;11,03;4,57;53,34;14,4;6,1;6,2;82,29;20,1;14,7;0,007651;0,007395;0,000533;0,000558;0,000068;0,000099;0,000106;0,000106;9,1
Comunidad Valenciana;VC;8,71;8,02;10,42;3,67;2,33;36,16;26;40,8;47,66;85,6;93;1493,93;0,81;78,22;212,49;43,79;19,67;7,32;54,71;21,07;8,8;9,16;82,79;20,97;21,07;0,170421;0,222854;0,018546;0,016533;0,001985;0,001441;0,003225;0,004135;5,9
Extremadura;EX;2,53;9,19;8,78;4,38;4,27;38,12;37,6;55;57,58;94,19;98,53;1663,26;0,8;87,51;25,94;45,01;20,89;9,49;54,29;7,68;10,6;10,73;82,68;20,8;7,68;0,037644;0,03757;0,003549;0,002464;0,000294;0,000241;0,001078;0,000708;8,2
Galicia;GA;4,41;9,12;16,2;8,82;6,4;41,4;18,8;41,1;51,88;84,85;95,18;1529,77;1,37;79,15;91,58;47,77;25,44;11,02;60,37;9,32;11,59;12,01;83,34;21,62;9,32;0,061857;0,065126;0,007455;0,006155;0,000877;0,000975;0,001397;0,001007;6,5
Islas Baleares;IB;10,62;4,85;8,07;4,29;2,46;31,08;15,4;42,4;43,37;64,62;75,11;1498,85;1,48;58,11;223,56;41,72;15,97;7,32;46,59;12,2;6,67;6,98;83,53;21,51;12,2;0,036777;0,02377;0,003187;0,001452;0,00048;0,000248;0,000544;0,000295;4,6
La Rioja;RI;8,95;5,41;8,11;4,75;1,93;37,51;16,6;38,2;50,09;94,79;100;1497,75;1,17;88,5;62,51;44,75;21,27;11,03;57,53;12,16;10,01;10,25;83,81;21,63;12,16;0,018461;0,012542;0,002311;0,001168;0,000221;0,000167;0,000588;0,000183;7,7
Madrid;MD;13,21;7,39;8,2;4,8;2,14;35,15;16,1;27,7;35,3;70,7;80,93;1289,26;1,48;65,6;811,17;42,72;17,98;8,89;52,47;15,4;7,05;7,07;85,43;23,14;15,4;0,406868;0,31142;0,074604;0,025932;0,00535;0,002313;0,011989;0,003353;6,3
Murcia;MC;7,84;7,28;10,18;4,34;2,8;44,98;28,6;46,9;54,9;70,75;90,67;1611,7;0,69;80,24;129,96;40,98;15,89;7,62;51,84;27,45;7,74;7,66;82,84;20,89;27,45;0,061275;0,051998;0,005277;0,003901;0,000721;0,000484;0,000769;0,000833;6,9
