;Densidad Poblacional (hab/km2);Edad Media (años);Mayores 65 años (%);Mayores 75 años(%);Índice de dependencia;Tasa de Mortalidad (2018);Tasa de Mortalidad (2019);Esperanza_nascer;Esperanza_65años;Mala_salud_mental;Infectados1M(2020);Infectados1M(2021);Hospitalizados1M(2020);Hospitalizados1M(2021);UCI1M(2020);UCI1M(2021);fallecidos1M(2020);fallecidos1M(2021);Vacunados_completos_%
Andalucía;96,02;42,48;17,41;8,25;51,61;8,35;8,66;81,94;20,25;26,5;0,00000866;0,318018;0,00002025;0,02316;0,002486;0,002776;0,005209;0,004631;7,2
Aragón;27,43;45,12;21,73;11,44;58,07;10,28;10,72;83,71;21,65;12,54;0,00001072;0,043616;0,00002165;0,003937;0,000828;0,000431;0,002612;0,000876;7,9
Asturias;97,6;48,87;26,09;13,04;58,65;12,64;12,93;82,8;21,17;17,23;0,00001293;0,02522;0,00002117;0,003512;0,000401;0,000355;0,001374;0,000593;9,7
Canarias;283,08;43,09;16,54;7,5;43,84;7,1;7,45;82,53;21,02;14,33;0,00000745;0,02885;0,00002102;0,002226;0,000561;0,000548;0,000428;0,000332;5,6
Cantabria;108,96;46,1;22,29;10,94;55,95;10,33;10,49;83,54;21,49;10,8;0,00001049;0,012353;0,00002149;0,001526;0,000225;0,000249;0,000407;0,000158;8,8
Castilla y León;25,74;47,97;25,51;13,96;60,82;11,95;12,15;84,2;22,24;17,86;0,00001215;0,095549;0,00002224;0,009219;0,001361;0,000876;0,00519;0,001643;9,5
Castilla-La Mancha;26,62;43,46;19,08;10,2;54,12;9,55;9,64;83,67;21,55;14,3;0,00000964;0,087124;0,00002155;0,004354;0,000993;0,000445;0,00435;0,001545;7,1
Cataluña;235,33;43,12;19,22;9,53;55,69;8,48;8,86;83,67;21,69;16,36;0,00000886;0,250226;0,00002169;0,010278;0,002505;0,000937;0,010532;0,003842;6,4
Ceuta y Melilla;11958,05;37,12;11,03;4,57;53,34;6,1;6,2;82,29;20,1;14,7;0,0000062;0,007395;0,0000201;0,000558;0,000068;0,000099;0,000106;0,000106;9,1
Comunidad Valenciana;212,49;43,79;19,67;7,32;54,71;8,8;9,16;82,79;20,97;21,07;0,00000916;0,222854;0,00002097;0,016533;0,001985;0,001441;0,003225;0,004135;5,9
Extremadura;25,94;45,01;20,89;9,49;54,29;10,6;10,73;82,68;20,8;7,68;0,00001073;0,03757;0,0000208;0,002464;0,000294;0,000241;0,001078;0,000708;8,2
Galicia;91,58;47,77;25,44;11,02;60,37;11,59;12,01;83,34;21,62;9,32;0,00001201;0,065126;0,00002162;0,006155;0,000877;0,000975;0,001397;0,001007;6,5
Islas Baleares;223,56;41,72;15,97;7,32;46,59;6,67;6,98;83,53;21,51;12,2;0,00000698;0,02377;0,00002151;0,001452;0,00048;0,000248;0,000544;0,000295;4,6
La Rioja;62,51;44,75;21,27;11,03;57,53;10,01;10,25;83,81;21,63;12,16;0,00001025;0,012542;0,00002163;0,001168;0,000221;0,000167;0,000588;0,000183;7,7
Madrid;811,17;42,72;17,98;8,89;52,47;7,05;7,07;85,43;23,14;15,4;0,00000707;0,31142;0,00002314;0,025932;0,00535;0,002313;0,011989;0,003353;6,3
Murcia;129,96;40,98;15,89;7,62;51,84;7,74;7,66;82,84;20,89;27,45;0,00000766;0,051998;0,00002089;0,003901;0,000721;0,000484;0,000769;0,000833;6,9
Navarra;61,9;43,54;19,96;10,04;57,18;8,53;9,01;84,38;22,08;18,92;0,00000901;0,019971;0,00002208;0,001359;0,000378;0,000193;0,000977;0,000199;6,7
País Vasco;303,31;45,79;22,84;11,48;59,91;9,88;10,02;84,05;22,13;19,04;0,00001002;0,081962;0,00002213;0,004574;0,000908;0,000486;0,003052;0,001389;5,6
